,gamma,A,beta,dv,dtheta,Pwin
0,1.05,0.448,5.2,-0.04262114454645749,-0.020854636161942608,1
1,1.05,0.448,5.2,-0.03263416280583359,-1.011850261959438,0
2,1.05,0.448,5.2,-0.037631095779907225,-1.0292776865802011,1
3,1.05,0.448,5.2,-0.03496212489304121,-0.726543867889319,1
4,1.05,0.448,5.2,-0.034066194678781164,-0.7501537770261848,0
5,1.05,0.448,5.2,-0.044258219583000524,0.6434556581493496,1
6,1.05,0.448,5.2,-0.0348124912747044,-1.4421101034203332,0
7,1.05,0.448,5.2,-0.04216798975252853,-0.11042328599168627,0
8,1.05,0.448,5.2,-0.04777827569636653,0.5803351591922734,0
9,1.05,0.448,5.2,-0.033816694104748024,-1.302983980584301,1
10,1.05,0.448,5.2,-0.03823450790071023,-0.7627563381193028,1
11,1.05,0.448,5.2,-0.021096769124539116,-3.1614451278971387,0
12,1.05,0.448,5.2,-0.027469765123960765,-1.9839044381271407,1
13,1.05,0.448,5.2,-0.03210799083665475,-1.0258335388042497,0
14,1.05,0.448,5.2,-0.039534600148942944,-0.6429110900409967,1
15,1.05,0.448,5.2,-0.03429240285725932,-0.9202545971782143,0
16,1.05,0.448,5.2,-0.057118872896463946,2.4873136660329607,1
17,1.05,0.448,5.2,-0.03910733029449273,-0.4013946067225902,0
18,1.05,0.448,5.2,-0.04193432209846104,0.04543973157387882,0
19,1.05,0.448,5.2,-0.03111583141233701,-1.4527971985773434,1
20,1.05,0.448,5.2,-0.043136640714240754,0.18382091495865893,0
21,1.05,0.448,5.2,-0.037268530707443515,-0.6959211636490892,0
22,1.05,0.448,5.2,-0.0485639685416506,0.965971556099305,0
23,1.05,0.448,5.2,-0.04406979382024245,-0.05882916885803979,0
24,1.05,0.448,5.2,-0.03760778882800481,-0.815837217143212,0
25,1.05,0.448,5.2,-0.03833752008212363,-0.1617739647954437,1
26,1.05,0.448,5.2,-0.03518236098759997,-1.2690174748109513,1
27,1.05,0.448,5.2,-0.028127215900384667,-1.6173167118935936,1
28,1.05,0.448,5.2,-0.03947882149990406,-0.1450706590698303,0
29,1.05,0.448,5.2,-0.04821651230129423,1.278716952510706,0
30,1.05,0.448,5.2,-0.032346153721735854,-0.6470595558049155,0
31,1.05,0.448,5.2,-0.043947810140634314,0.2789872767264967,0
32,1.05,0.448,5.2,-0.043570092732363674,0.6220339659243876,0
33,1.05,0.448,5.2,-0.03163530482768165,-1.6416811025873983,1
34,1.05,0.448,5.2,-0.039606752963922104,-0.13789083516482492,1
35,1.05,0.448,5.2,-0.03395577617191839,-1.5371360366308693,1
36,1.05,0.448,5.2,-0.033037386384532796,-1.0374366432792073,1
37,1.05,0.448,5.2,-0.034025635808936056,-1.1946309235675585,1
38,1.05,0.448,5.2,-0.04238736109139862,-0.590770410612663,0
39,1.05,0.448,5.2,-0.04294208941617286,0.18717406712993068,0
40,1.05,0.448,5.2,-0.032535948844054,-0.8747395155549782,1
41,1.05,0.448,5.2,-0.05030183677977543,1.7169634694368483,1
42,1.05,0.448,5.2,-0.04044297616951617,-0.28511404083809566,0
43,1.05,0.448,5.2,-0.0401884738449349,-0.2728937682012429,1
44,1.05,0.448,5.2,-0.03958596266395306,0.27871994011017875,0
45,1.05,0.448,5.2,-0.040368868592822876,0.013770036071107938,0
46,1.05,0.448,5.2,-0.027356616733949124,-0.9366388022184537,0
47,1.05,0.448,5.2,-0.02924856253268676,-1.1212121044256804,1
48,1.05,0.448,5.2,-0.039179732381639854,-0.29222104299647356,1
49,1.05,0.448,5.2,-0.04338936483684344,0.23469007339950565,1
50,1.05,0.448,5.2,-0.04301729072942331,-0.043956233963697855,0
51,1.05,0.448,5.2,-0.03843337869685318,0.20671072971394722,0
52,1.05,0.448,5.2,-0.0371772490859304,-0.6806351208632009,1
53,1.05,0.448,5.2,-0.039348058411442705,-0.7015991576566307,1
54,1.05,0.448,5.2,-0.03555585367908923,-0.779320510273692,1
55,1.05,0.448,5.2,-0.029132169005114783,-1.3291587600975703,1
56,1.05,0.448,5.2,-0.03888803761974022,-0.06425919420243531,1
57,1.05,0.448,5.2,-0.041536263247015814,-0.06787542990035433,0
58,1.05,0.448,5.2,-0.03776820407614742,-0.3593275304292405,1
