,gamma,A,beta,dv,dtheta,Pwin
0,1.05,0.448,5.2,-0.03043201055531808,-1.4105348974220249,0
1,1.05,0.448,5.2,-0.029269465712954662,-1.1239065353810958,1
2,1.05,0.448,5.2,-0.043995593229570445,-0.3635668720929175,0
3,1.05,0.448,5.2,-0.04041441240296623,-0.013436476131943209,0
4,1.05,0.448,5.2,-0.036756946016612585,-1.0540715943822505,0
5,1.05,0.448,5.2,-0.02797340782047561,-1.5677722661045266,1
6,1.05,0.448,5.2,-0.04584007484398092,0.45705766390300084,0
7,1.05,0.448,5.2,-0.03565159822567843,0.4603630378569079,0
8,1.05,0.448,5.2,-0.04172426321631306,0.4747246827544558,0
9,1.05,0.448,5.2,-0.0426709674674976,0.22883794391145784,0
10,1.05,0.448,5.2,-0.04303932567243515,-0.08134978282041061,0
11,1.05,0.448,5.2,-0.04189226669721641,-0.41085819588236916,1
12,1.05,0.448,5.2,-0.039732922156880957,0.2532000624934909,0
13,1.05,0.448,5.2,-0.04743455107703398,0.8093603624197243,0
14,1.05,0.448,5.2,-0.03705918501838709,-0.4029521971254155,0
15,1.05,0.448,5.2,-0.037109398603853844,-1.0734358776476398,0
16,1.05,0.448,5.2,-0.03776376732684447,0.023220936757397226,0
17,1.05,0.448,5.2,-0.04290013137239576,-0.7180712418988122,0
18,1.05,0.448,5.2,-0.03437468514327943,-0.8600393203452228,1
19,1.05,0.448,5.2,-0.030280489809468042,-1.6769397335950345,0
20,1.05,0.448,5.2,-0.03823244573950002,-0.34400672145943645,0
21,1.05,0.448,5.2,-0.04776842217864835,0.4364275245215907,0
22,1.05,0.448,5.2,-0.04149135040113808,-0.8930999899209411,0
23,1.05,0.448,5.2,-0.04016467918483374,-0.3690076588138993,0
24,1.05,0.448,5.2,-0.03995194368090113,-1.3833100196773813,0
25,1.05,0.448,5.2,-0.03420473345087027,-1.1536181392830684,0
26,1.05,0.448,5.2,-0.03801858899389804,-0.6975000861067997,1
27,1.05,0.448,5.2,-0.036495754552839654,-0.046792434163933194,0
28,1.05,0.448,5.2,-0.04229086076621019,-0.6836071315731118,0
29,1.05,0.448,5.2,-0.03514264432517847,-0.7507010346300689,0
30,1.05,0.448,5.2,-0.046101643496425065,0.3837951667821926,1
31,1.05,0.448,5.2,-0.028294427403104977,-1.1123133298734018,0
32,1.05,0.448,5.2,-0.03915260857601735,-0.3700709240046507,0
33,1.05,0.448,5.2,-0.034416532227860924,-0.9840194983229367,0
34,1.05,0.448,5.2,-0.025959846721656465,-0.6058977463796396,0
35,1.05,0.448,5.2,-0.03856644507671805,-0.43694899710233415,0
36,1.05,0.448,5.2,-0.0443095030768661,-0.1692180276270534,0
37,1.05,0.448,5.2,-0.03913152160883565,0.12099920907265016,0
38,1.05,0.448,5.2,-0.044535753731771044,0.40995673552281175,1
39,1.05,0.448,5.2,-0.03862647159683927,0.09446993637058654,0
40,1.05,0.448,5.2,-0.04246979420872049,0.02503719527743442,0
41,1.05,0.448,5.2,-0.02516848885193579,-2.1944485433414513,1
42,1.05,0.448,5.2,-0.038212734085963956,0.2337825525675754,0
43,1.05,0.448,5.2,-0.031450678630481815,-1.3819400755828326,0
44,1.05,0.448,5.2,-0.04889824684255145,1.3722551710083906,0
